,name,lat,long,rain,temp
46,นครสวรรค์ ,"{'Value': '15.671833333333333333333333334', 'Unit': 'decimal degree'}","{'Value': '100.13236111111111111111111111', 'Unit': 'decimal degree'}",0.0,27.7
47,ตากฟ้า สกษ.,"{'Value': '15.349444444444444444444444444', 'Unit': 'decimal degree'}","{'Value': '100.53027777777777777777777778', 'Unit': 'decimal degree'}",23.0,26.2
48,ชัยนาท สกษ.,"{'Value': '15.15', 'Unit': 'decimal degree'}","{'Value': '100.18333333333333333333333333', 'Unit': 'decimal degree'}",0.0,27.1
49,ชัยภูมิ,"{'Value': '15.8', 'Unit': 'decimal degree'}","{'Value': '102.03333333333333333333333333', 'Unit': 'decimal degree'}",11.9,25.9
50,ร้อยเอ็ด,"{'Value': '16.020000000000000000000000000', 'Unit': 'decimal degree'}","{'Value': '103.74388888888888888888888889', 'Unit': 'decimal degree'}",8.0,25.1
51,ร้อยเอ็ด สกษ.,"{'Value': '16.073222222222222222222222223', 'Unit': 'decimal degree'}","{'Value': '103.60844444444444444444444444', 'Unit': 'decimal degree'}",8.8,25.3
52,ยโสธร,"{'Value': '15.794944444444444444444444444', 'Unit': 'decimal degree'}","{'Value': '104.21436111111111111111111111', 'Unit': 'decimal degree'}",10.3,25.0
53,อุบลราชธานี สกษ.,"{'Value': '15.239138888888888888888888889', 'Unit': 'decimal degree'}","{'Value': '105.02350000000000000000000000', 'Unit': 'decimal degree'}",0.5,25.1
54,อุบลราชธานี (ศูนย์ฯ),"{'Value': '15.25', 'Unit': 'decimal degree'}","{'Value': '104.86666666666666666666666667', 'Unit': 'decimal degree'}",6.1,25.4
55,ศรีสะเกษ,"{'Value': '15.0', 'Unit': 'decimal degree'}","{'Value': '104.05', 'Unit': 'decimal degree'}",1.0,26.0
56,อุทัยธานี,"{'Value': '15.374166666666666666666666667', 'Unit': 'decimal degree'}","{'Value': '100.03888888888888888888888889', 'Unit': 'decimal degree'}",0.0,28.9
57,พระนครศรีอยุธยา,"{'Value': '14.534722222222222222222222222', 'Unit': 'decimal degree'}","{'Value': '100.72500000000000000000000000', 'Unit': 'decimal degree'}",19.2,26.1
58,นครนายก,"{'Value': '14.216666666666666666666666667', 'Unit': 'decimal degree'}","{'Value': '101.38333333333333333333333333', 'Unit': 'decimal degree'}",2.8,20.8
59,ปทุมธานี สกษ.,"{'Value': '14.1', 'Unit': 'decimal degree'}","{'Value': '100.61666666666666666666666667', 'Unit': 'decimal degree'}",15.2,26.5
60,ฉะเชิงเทรา,"{'Value': '13.515555555555555555555555556', 'Unit': 'decimal degree'}","{'Value': '101.45833333333333333333333333', 'Unit': 'decimal degree'}",0.0,26.6
